"ID";"Name";"Gender";"Rank";"Consular";"Uncertain";"Alt.Name";"Notes"
5;"Voconius Romanus";"M";"Equestrian";"No";"Yes";"Voconius";"Social rank uncertain"
1;"Cornelius Tacitus";"M";"Senatorial";"Yes";"No";"";""
